Breed,Country,Origin,Body type,Coat length,Pattern
Serrade Petit,France,Natural,Semi-Cobby,Short,Tabby
Siamese,Developed in the United States and Europe (foundation stock from Thailand),Mutation of the Thai cat,Oriental,Short,Colorpoint
Siberian,"Russia, Ukraine",Natural,Semi-cobby,Semi-long,All
Singapura,Developed in the United States (foundation stock from Singapore Island,"Crossbreed: Burmese and Abyssinian, and a variety of the Australian Mist",Small,Short,Ticked
Snowshoe,United States,Crossbreed: American Shorthair and Siamese,Moderate,Short,Mitted Colorpoint
Sokoke,Kenya,Natural,Moderate,Short,Ticked tabby
Somali,"United States, Canada",Mutation,Cobby,Long,Ticked
Sphynx,"Canada, Europe",Mutation,Oriental,Hairless,All
Suphalak,Thailand,Natural,Moderate,Short,Solid
Thai,Thailand,Natural,Moderate,Short,Colorpoint
Thai Lilac,Thailand,Variety of the Korat,Moderate and muscular,Short,Solid lilac
Tonkinese,"Canada, United States",Crossbreed: Burmese and Siamese,"Oriental, Moderate",Short,"Colorpoint, mink, or solid"
Toyger,United States,Crossbreed/hybrid: Bengal and the Domestic Shorthair,Moderate,Short,Striped
Turkish Angora,Turkey,Natural,Semi-Cobby,Semi-long,All but colorpoint
Turkish Van,Developed in the United Kingdom (foundation stock from Turkey),Natural,Semi-Cobby,Semi-long,Van pattern
Ukrainian Levkoy,Ukraine,Crossbred: Donskoy and Scottish Fold,Moderate,Hairless,Grey
Wila Krungthep,Thailand,Mutation,Oriental,Short,Solid brown
York Chocolate,United States (New York),Natural,Semi-Cobby,Long,Solid brown
